architecture,log,setting,freezed_layers,dls,mae,mae_denormalised,nb_worst_situs
rnn,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,['0'],0.6629,0.0590,248.8831,0
rnn,Road_Traffic_Fine_Management_Process.xes.gz,base,,0.3716,0.1766,745.2318,53597
rnn,Road_Traffic_Fine_Management_Process.xes.gz,RTFMP_filtered,"['0', '1', '2']",0.3659,1.0749,4536.9904,53782
rnn,Road_Traffic_Fine_Management_Process.xes.gz,RTFMP_filtered,['0'],0.8177,0.0426,179.8191,0
rnn,RTFMP_filtered.xes,base,,0.5712,0.0645,272.3016,0
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,BPIC15,"['0', '1', '2']",0.1058,0.4137,172.6171,2390
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,BPIC15,['0'],0.1753,0.1314,54.8358,0
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,"['0', '1', '2', '3']",0.0552,3.0919,1290.1126,2621
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,"['0', '1', '2']",0.1586,1.2573,524.6366,1012
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,"['1', '2', '3']",0.0904,4.8766,2034.7989,2355
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,"['0', '2', '3']",0.0598,6.5224,2721.5231,2593
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,"['0', '1', '3']",0.0983,2.3203,968.1762,2138
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,"['0', '1']",0.0573,2.3126,964.9706,2608
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,['0'],0.1187,8.1859,3415.6524,2017
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,"['0', '1', '2', '3']",0.0646,7.3697,3075.0658,2590
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,"['0', '1', '2']",0.0954,4.0402,1685.8110,2547
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,"['1', '2', '3']",0.2195,0.0810,33.8080,0
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,"['0', '2', '3']",0.0668,2.3460,978.9050,2556
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,"['0', '1', '3']",0.0765,3.0806,1285.4082,2372
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,"['0', '1']",0.2154,0.0794,33.1198,0
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP,['0'],0.1153,4.9646,2071.5384,1884
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP_filtered,"['0', '1', '2']",0.0734,5.8221,2429.3135,2527
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,RTFMP_filtered,['0'],0.0950,1.2984,541.7548,2647
rnn,Sepsis%20Cases%20-%20Event%20Log.xes.gz,base,,0.2339,0.0801,33.4105,0
GPT,BPIC15_1.xes,base,,0.1519,0.1305,126.9996,7860
GPT,BPIC15_1.xes,helpdesk,"['0', '1', '2', '3']",0.0152,0.6167,600.3799,9633
GPT,BPIC15_1.xes,helpdesk,"['0', '1', '2']",0.0197,0.2460,239.4790,9632
GPT,BPIC15_1.xes,helpdesk,"['1', '2', '3']",0.0120,0.5112,497.6639,9634
GPT,BPIC15_1.xes,helpdesk,"['0', '2', '3']",0.0191,0.2645,257.4874,9634
GPT,BPIC15_1.xes,helpdesk,"['0', '1', '3']",0.0220,0.1351,131.5302,9566
GPT,BPIC15_1.xes,helpdesk,"['0', '1']",0.0090,0.2687,261.5312,9634
